Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
180GWALP01,DJ Yoshizawa Dynamite.jp & Chintam,Wamono A To Z Vol. I (Japanese Jazz Funk & Rare Groove 1968-1980),180g,"LP, Comp, 180",,2020,15796599,Japanese,2022-02-07 21:13:40,Mint (M),Mint (M),
180GWALP02,DJ Yoshizawa Dynamite.jp & Chintam,Wamono A To Z Vol. II (Japanese Funk 1970​-​1977),180g,"LP, Comp",,2021,17347705,Japanese,2021-04-03 21:33:59,Mint (M),Mint (M),
TC 2488,Carl Carlton,"She's A Bad Mama Jama (She's Built, She's Stacked)",20th Century Fox Records,"7"", Single, 4 P",,1981,779460,45 Funk/Soul,2019-10-14 01:15:52,Very Good (VG),Very Good (VG),
TC-2069,Love Unlimited Orchestra,Love's Theme,20th Century Records,"7"", Single, Styrene, Pit",,1973,16110429,45 Funk/Soul,2023-06-11 00:56:57,Very Good (VG),Generic,
FP-1248,Fausto Rey,El Cuarto Album,4 Points,"LP, Album",,1973,8235018,Latin Funk,2019-11-30 23:12:30,Near Mint (NM or M-),Very Good Plus (VG+),
JAM4501,Raphael Saadiq & Q-Tip / Q-Tip,Get Involved / Vivrant Thing,45 Jams,"7"", Single, Ltd",,2020,14728932,45 Hip-Hop/Instrumental,2021-02-08 16:54:16,Mint (M),Mint (M),
JAM4501,Raphael Saadiq & Q-Tip / Q-Tip,Get Involved / Vivrant Thing,45 Jams,"7"", Single, Ltd",,2020,14728932,45 Hip-Hop/Instrumental,2021-02-08 16:55:08,Mint (M),Mint (M),
Cad 3420,Cocteau Twins,Heaven Or Las Vegas,4AD,"LP, Album, RE, RM, 180",,2014,5876465,80's Rock,2020-03-04 22:41:39,Mint (M),Mint (M),
162-440 456-0,Eric B. & Rakim,Move The Crowd / Paid In Full,4th & Broadway,"12"", RP",,1990,1476447,"12"" Hip-Hop",2019-01-02 23:43:39,Very Good Plus (VG+),Generic,
36 79018,Ben Folds Five,Brick,550 Music,"7"", Single",,1997,1525648,45 Rock/Alternative,2023-05-24 23:32:38,Near Mint (NM or M-),Generic,
46 78354,Ginuwine,Pony,550 Music,"12""",,1996,227530,"12"" 90's R&B",2019-01-02 23:52:46,Near Mint (NM or M-),Near Mint (NM or M-),
823R002,"quickly, quickly",Over Skies,823,"12"", EP",,2018,12354741,Instrumental/Beats,2022-03-29 18:17:45,Mint (M),Mint (M),
CTLP085,Augustus Pablo,King Tubbys Meets Rockers Uptown,"A & A Productions, Clocktower Records, Abraham","LP, Album, RE, RP, Lav",,2022,24374045,Reggae,2022-10-14 21:33:42,Mint (M),Mint (M),
SP-12016,Hollywood Disco Jazz Band Featuring The Waters,Don's Place,A&M Disco,"12"", Promo",,1979,1413909,"12"" Funk/Soul",2023-01-22 23:48:22,Very Good Plus (VG+),Very Good Plus (VG+),
1183-S,Carpenters,(They Long To Be) Close To You,A&M Records,"7""",,1970,13036152,45 60's Rock,2020-01-02 02:24:52,Very Good Plus (VG+),Generic,
